id,text,StatementPositive,StatementNegative,Sycophancy,Criticism,Duty,Self-deprecation,Sacrifice,Threat,PoliteFormula,ChainReasoning,Transposition,Analogy,Information,MotivationPositive,MotivationNegative,SupernaturalPositive,SupernaturalNegative,HistoryPositive,HistoryNegative,HistoryOutcomePositive,HistoryOutcomeNegative,HistoricalExamplesPositive,HistoricalExamplesNegative,HistoricalExamplesOutcomePositive,HistoricalExamplesOutcomeNegative,Tradition,Morality,Hearsay,Proverb,Remark,Model,Book_Shi,Book_Shu,Book_Li,Book_Yi,Book_Chunqiu,Book_Lunyu,Book_Laozi,Book_Zhuangzi,Book_Fojing,Book_Uncertain,Book_History,Book_Bing,Book_Others,authoritative text,book,time_period,book_time,jian_time,num_char,outcome,ritual,law,administration,culture,personnel,military,diplomacy,economy,royal family,personal conduct,relationship,overstep authority,other,advice direction,advice taken,advice correct,persuader outcome,persuadee persuader relationship,persuader identity,persuadee identity,advice correct outcome evidence,notes,,
1,不可。先王耀德不观兵。夫兵戢而时动，动则威，观则玩，玩则无震。是故周文公之颂曰：‘载戢干戈，载櫜弓矢，我求懿德，肆于时夏，允王保之。’先王之于民也，茂正其德而厚其性，阜其财求而利其器用，明利害之乡，以文修之，使之务利而辟害，怀德而畏威，故能保世以滋大。昔我先王世后稷以服事虞、夏。及夏之衰也，弃稷不务，我先王不窋用失其官，而自窜于戎狄之闲。不敢怠业，时序其德，遵修其绪，修其训典，朝夕恪勤，守以敦笃，奉以忠信。奕世载德，不忝前人。至于文王、武王，昭前之光明而加之以慈和，事神保民，无不欣喜。商王帝辛大恶于民，庶民不忍，欣载武王，以致戎于商牧。是故先王非务武也，劝恤民隐而除其害也。夫先王之制，邦内甸服，邦外侯服，侯卫宾服，夷蛮要服，戎翟荒服。甸服者祭，侯服者祀，宾服者享，要服者贡，荒服者王。日祭，月祀，时享，岁贡，终王。先王之顺祀也，有不祭则修意，有不祀则修言，有不享则修文，有不贡则修名，有不王则修德，序成而有不至则修刑。于是有刑不祭，伐不祀，征不享，让不贡，告不王。于是有刑罚之辟，有攻伐之兵，有征讨之备，有威让之命，有文告之辞。布令陈辞而有不至，则增修于德，无勤民于远。是以近无不听，远无不服。今自大毕、伯士之终也，犬戎氏以其职来王，天子曰‘予必以不享征之，且观之兵’，无乃废先王之训，而王几顿乎？吾闻犬戎树敦，率旧德而守终纯固，其有以御我矣。,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,zhou,pre_han,-908.5,-908.5,576,-1,,,,,,1,,,,,,,,0,0,1,unclear,king-minister,祭公谋父,周穆王,,,,persuadee persuader relationship
2,民不堪命矣。……是鄣之也。防民之口，甚于防川；川雍而溃，伤人必多。民亦如之。是故为川者，决之使导；为民者，宣之使言。故天子听政，使公卿至于列士献诗，瞽献曲，史献书，师箴，瞍赋，朦诵，百工谏，庶人传语，近臣尽规，亲戚补察，瞽、史教诲，耆艾修之，而后王斟酌焉。是以事行而不悖。民之有口也，犹土之有山川也，财用于是乎出；犹其有原隰衍沃也，衣食于是乎生。口之宣言也，善败于是乎兴。行善而备败，所以阜财用衣食者也。夫民虑之于心，而宣之于口，成而行之，胡可壅也？若壅其口，其与能几何？,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zhou,pre_han,-908.5,-908.5,6,-1,,,1,,,,,,,,,,,0,0,1,unclear,king-minister,召公,周厉王,,,,king-minister
3,民不可料也。,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zhou,pre_han,-908.5,-908.5,6,-1,,,1,,,,,,,,,,,0,0,1,unclear,king-minister,仲山甫,周宣王,,,,minister-inferior
4,凡我周之东徙，晋、郑焉依。子颓之乱，又郑之由定，今以小怨弃之！……平、桓、庄、惠皆受郑劳，王弃亲亲翟，不可从。,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zhou,pre_han,-908.5,-908.5,30,-1,,,,,,1,1,,1,,,,,0,0,1,death,king-minister,富辰,周襄王,,,,general-inferior
5,父死不葬，爰及干戈，可谓孝乎？以臣弑君，可谓仁乎？,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zhou,pre_han,-908.5,-908.5,25,1,1,,,,,1,,,,,,,,0,0,0,death,king-minister,伯夷叔齐,周武王,,,,prince-minister
6,昔有过氏杀斟灌以伐斟寻，灭夏后帝相。帝相之妃后缗方娠，逃于有仍而生少康。少康为有仍牧正。有过又欲杀少康，少康奔有虞。有虞思夏德，于是妻之以二女而邑之于纶，有田一成，有众一旅。后遂收夏众，抚其官职。使人诱之，遂灭有过氏，复禹之绩，祀夏配天，不失旧物。今吴不如有过之强，而句践大于少康。今不因此而灭之，又将宽之，不亦难乎！且句践为人能辛苦，今不灭，后必悔之。,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chunqiuzhanguo,pre_han,-495.5,-495.5,177,-1,,,,,,1,,,,,,,,0,0,1,death,king-minister,伍子胥,夫差,,,,king-prince
7,越王句践食不重味，衣不重采，吊死问疾，且欲有所用其众。此人不死，必为吴患。今越在腹心疾而王不先，而务齐，不亦谬乎！,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chunqiuzhanguo,pre_han,-495.5,-495.5,57,-1,,,,,,1,,,,,,,,0,0,1,death,king-minister,伍子胥,夫差,,,,husband-wife
8,越在腹心，今得志于齐，犹石田，无所用。且盘庚之诰有颠越勿遗，商之以兴。,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,chunqiuzhanguo,pre_han,-495.5,-495.5,34,-1,,,,,,,1,,,,,,,0,0,1,death,king-minister,伍子胥,夫差,,,,king-royal family member
9,君臣淫乱，民何效焉？,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chunqiuzhanguo,pre_han,-495.5,-495.5,10,-1,,,,,,,,,,1,,,,0,0,1,death,king-minister,泄冶,灵公,,,,queen mother-minister
10,小国争盟，祸也。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chunqiuzhanguo,pre_han,-495.5,-495.5,8,-1,,,,,,,1,,,,,,,0,0,1,unclear,king-minister,公子目夷,宋襄公,,,,teacher-student
11,天之弃商久矣，不可。,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chunqiuzhanguo,pre_han,-495.5,-495.5,10,-1,,,,,,1,,,,,,,,0,0,1,unclear,king-minister,子鱼,宋襄公,,,,father-son
12,不可。臣闻兵者凶器也，战者逆德也，争者事之末也。阴谋逆德，好用凶器，试身于所末，上帝禁之，行者不利。,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chunqiuzhanguo,pre_han,-495.5,-495.5,50,-1,,,,,,1,,,,,,,,0,0,1,regret,king-minister,范蠡,勾践,,,,warlord-inferior
13,今不灭越，后必悔之。句践贤君，种、蠡良臣，若反国，将为乱。,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chunqiuzhanguo,pre_han,-495.5,-495.5,29,-1,,,,,,1,,,,,,,,0,0,1,death,king-minister,伍子胥,夫差,,,,royal family member-minister
14,国新流亡，今乃复殷给，缮饰备利，吴必惧，惧则难必至。且鸷鸟之击也，必匿其形。今夫吴兵加齐、晋，怨深于楚、越，名高天下，实害周室，德少而功多，必淫自矜。为越计，莫若结齐，亲楚，附晋，以厚吴。吴之志广，必轻战。是我连其权，三国伐之，越承其弊，可克也。,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chunqiuzhanguo,pre_han,-495.5,-495.5,123,1,,,,,,,1,,,,,,,1,1,1,unclear,king-minister,逢同,勾践,,,,elder member-kinsman
15,未可。臣闻句践食不重味，与百姓同苦乐。此人不死，必为国患。吴有越，腹心之疾，齐与吴，疥癣也。愿王释齐先越,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chunqiuzhanguo,pre_han,-495.5,-495.5,52,-1,,,,,,1,,,,,,,,0,0,1,death,king-minister,伍子胥,夫差,,,,NA
16,子产仁人，郑所以存者子产也，勿杀！,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chunqiuzhanguo,pre_han,-495.5,-495.5,17,1,,,,,1,,,,,,,,,0,1,1,unclear,king-minister,郑公子,郑简公,,,,queen mother-kinsman
17,越王为人能辛苦。今王不灭，后必悔之。,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chunqiuzhanguo,pre_han,-495.5,-495.5,18,-1,,,,,,1,,,,,,,,0,0,1,death,king-minister,伍子胥,夫差,,,,0
18,句践食不重味，吊死问疾，且欲有所用之也。此人不死，必为吴患。今吴之有越，犹人之有腹心疾也。而王不先越而乃务齐，不亦谬乎！,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chunqiuzhanguo,pre_han,-495.5,-495.5,60,-1,,,,,,1,,,,,,,,0,0,1,death,king-minister,伍子胥,夫差,,,,
19,夫越，腹心之病，今信其浮辞诈伪而贪齐。破齐，譬犹石田，无所用之。且盘庚之诰曰：‘有颠越不恭，劓殄灭之，俾无遗育，无使易种于兹邑。’此商之所以兴。愿王释齐而先越；若不然，后将悔之无及。,1,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,chunqiuzhanguo,pre_han,-495.5,-495.5,91,-1,,,,,,,1,,,,,,,0,0,1,death,king-minister,伍子胥,夫差,,,,
20,胜好勇而阴求死士，殆有私乎！,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chunqiuzhanguo,pre_han,-495.5,-495.5,14,-1,,,,,1,,,,,,,,,0,0,1,unclear,king-minister,叶公,楚惠王,,,,
21,臣所以去亲戚而事君者，徒慕君之高义也。今君与廉颇同列，廉君宣恶言而君畏匿之，恐惧殊甚，且庸人尚羞之，况于将相乎！臣等不肖，请辞去。,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chunqiuzhanguo,pre_han,-495.5,-495.5,65,,,,,,,,,,,1,,,,0,0,0,unclear,minister-inferior,舍人,蔺相如,,,,
22,先据北山上者胜，后至者败。,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chunqiuzhanguo,pre_han,-495.5,-495.5,13,1,,,,,,1,,,,,,,,1,1,1,promoted/rewarded,general-inferior,军士许历,赵奢,,兵去邯郸三十里，而令军中曰：“有以军事谏者死。……军中候有一人言急救武安，赵奢立斩之……军士许历请以军事谏……赵奢曰：“请受令。”许历曰：“请就鈇质之诛。”【统治者对于进谏的排斥态度】,,
23,不可。夫以秦王之暴而积怒于燕，足为寒心，又况闻樊将军之所在乎？是谓‘委肉当饿虎之蹊’也，祸必不振矣！虽有管、晏，不能为之谋也。愿太子疾遣樊将军入匈奴以灭口。请西约三晋，南连齐、楚，北购于单于，其后乃可图也。……夫行危欲求安，造祸而求福，计浅而怨深，连结一人之後交，不顾国家之大害，此所谓‘资怨而助祸’矣。夫以鸿毛燎於炉炭之上，必无事矣。且以雕鸷之秦，行怨暴之怒，岂足道哉！燕有田光先生，其为人智深而勇沈，可与谋。,2,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chunqiuzhanguo,pre_han,-495.5,-495.5,103,1,,,,,1,,1,,,,,,,0,0,1,unclear,prince-minister,太傅鞠武,燕太子丹,,,,
24,天下初定，远方黔首未集，诸生皆诵法孔子，今上皆重法绳之，臣恐天下不安。唯上察之。,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,qin,pre_han,-214,-214,40,-1,,1,,1,,,,,,,,,,0,0,1,demoted/prisoned,king-prince,扶苏,秦始皇,,,,
25,关东群盗并起，秦发兵诛击，所杀亡甚众，然犹不止。盗多，皆以戌漕转作事苦，赋税大也。请且止阿房宫作者，减省四边戍转。,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,qin,pre_han,-214,-214,57,-1,,,,,,1,,1,,,,,,1,0,1,suicide,king-minister,右丞相去疾、左丞相斯、将军冯劫,秦二世,,,,
26,沛公虽欲急入关，秦兵尚众，距险。今不下宛，宛从后击，强秦在前，此危道也。,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,qin,pre_han,-214,-214,36,1,,,,,,1,,,,,,,,0,1,1,unclear,king-minister,张良,沛公,,,,
27,放弃诗书，极意声色，祖伊所以惧也；轻积细过，恣心长夜，纣所以亡也。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,qin,pre_han,-214,-214,33,-1,,,,,,,,,,1,,,,0,0,1,unclear,king-minister,李斯,秦二世,,,,
28,臣闻之，殷周之王千馀岁，封子弟功臣自为支辅。今陛下有海内，而子弟为匹夫，卒有田常、六卿之患，臣无辅弼，何以相救哉？事不师古而能长久者，非所闻也。今青臣等又面谀以重陛下过，非忠臣也。,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,qin,pre_han,-214,-214,90,0,,,,,,,,,1,,,,,1,0,NA,unclear,king-minister,齐人淳于越,秦始皇,,收去诗书百家之语以愚百姓，使天下无以古非今【统治者对于借古讽今的排斥态度】,,
29,臣闻故赵王迁杀其良臣李牧而用颜聚，燕王喜阴用荆轲之谋而倍秦之约，齐王建杀其故世忠臣而用后胜之议。此三君者，皆各以变古者失其国而殃及其身。今蒙氏，秦之大臣谋士也，而主欲一旦弃去之，臣窃以为不可。臣闻轻虑者不可以治国，独智者不可以存君。诛杀忠臣而立无节行之人，是内使群臣不相信而外使鬬士之意离也，臣窃以为不可。,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,qin,pre_han,-214,-214,153,-1,,,,,1,,,,,,,,,0,0,1,unclear,king-minister,子婴,秦二世,,,,
30,秦未亡而诛武臣等家，此又生一秦也。不如因而贺之，使急引兵西击秦。,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,qin,pre_han,-214,-214,32,1,,,,,1,1,,,,,,,,0,1,0,unclear,king-minister,相国房君,陈王,,,,
32,诸侯大骄必生患，可适削地。,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,han,han,-97,-97,13,-1,,,,,,,,,1,,,,,1,0,1,regret,king-minister,袁盎,汉文帝,,,,
33,陛下素骄淮南王，弗稍禁，以至此，今又暴摧折之。淮南王为人刚，如有遇雾露行道死，陛下竟为以天下之大弗能容，有杀弟之名，柰何？,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,han,han,-97,-97,61,-1,,,,,,,,,1,,,,,0,0,1,regret,king-minister,袁盎,汉文帝,,,,
34,承一帝，至乐也。今大王与吴西乡，弟令事成，两主分争，患乃始结。诸侯之地不足为汉郡什二，而为畔逆以忧太后，非长策也。,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,han,han,-97,-97,57,-1,,,,,,1,,,,,,,,0,0,1,unclear,king-minister,胶西群臣,胶西王,,,,
35,王以反为名，此兵难以藉人，藉人亦且反王，柰何？且擅兵而别，多佗利害，未可知也，徒自损耳。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,han,han,-97,-97,44,1,,,,,,1,,,,,,,,0,1,NA,unclear,king-prince,吴王太子,吴王,,,,
36,不可。夫匈奴无城郭之居，委积之守，迁徙鸟举，难得而制也。轻兵深入，粮食必绝；踵粮以行，重不及事。得其地不足以为利也，遇其民不可役而守也。胜必杀之，非民父母也。靡獘中国，快心匈奴，非长策也。,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,han,han,-97,-214,94,-1,,,,,,1,,,,,,,,0,0,1,unclear,king-minister,李斯,秦始皇,百姓靡敝，孤寡老弱不能相养，道路死者相望，盖天下始畔秦也。,,,
37,不可。夫匈奴之性，兽聚而鸟散，从之如搏影。今以陛下盛德攻匈奴，臣窃危之。,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,han,han,-97,-97,36,-1,,,,,,1,,,,,,,,0,0,1,regret,king-minister,御史成,汉高祖,高皇帝盖悔之甚，乃使刘敬往结和亲之约，然後天下忘干戈之事,,,
38,《诗》云‘营营青蝇，止于蕃。恺悌君子，无信谗言。谗言罔极，交乱四国’。愿陛下远巧佞，退谗言。,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,han,han,-97,-97,46,,,,,,1,,,,,,,,,1,NA,1,unclear,king-minister,东方朔,汉武帝,鸟之将死，其鸣也哀；人之将死，其言也善。,,,
39,沛公虽欲急入关，秦兵尚众，距险。今不下宛，宛从后击，强秦在前，此危道也。,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,han,han,-97,-97,36,1,,,,,,1,,,,,,,,0,1,1,unclear,king-minister,张良,沛公,,,,
40,今汉有天下太半，而诸侯皆附，楚兵罢食尽，此天亡之时，不因其几而遂取之，所谓养虎自遗患也。,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,han,han,-97,-97,44,1,,,,,,1,,,,,,,,0,1,1,unclear,king-minister,张良、陈平,汉王,,,,
